Repo Name, User Name, Stars, Repo URL
Blog,ljianshu,7.8k, https://github.com/ljianshu/Blog
infinite-scroll,metafizzy,7.4k, https://github.com/metafizzy/infinite-scroll
tabulator,olifolkerd,6.4k, https://github.com/olifolkerd/tabulator
unfetch,developit,5.7k, https://github.com/developit/unfetch
form,jquery-form,5.2k, https://github.com/jquery-form/form
elFinder,Studio-42,4.6k, https://github.com/Studio-42/elFinder
wretch,elbywan,4.5k, https://github.com/elbywan/wretch
learn-to-send-email-via-google-script-html-no-server,dwyl,3.1k, https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
reqwest,ded,2.9k, https://github.com/ded/reqwest
ajax-hook,wendux,2.5k, https://github.com/wendux/ajax-hook
bliss,LeaVerou,2.4k, https://github.com/LeaVerou/bliss
featherlight,noelboss,2.1k, https://github.com/noelboss/featherlight
jquery-confirm,craftpip,1.9k, https://github.com/craftpip/jquery-confirm
tsrpc,k8w,1.8k, https://github.com/k8w/tsrpc
tracy,nette,1.7k, https://github.com/nette/tracy
sente,taoensso,1.7k, https://github.com/taoensso/sente
css-spinner,loadingio,1.7k, https://github.com/loadingio/css-spinner
Enterprise,joaomilho,1.6k, https://github.com/joaomilho/Enterprise
eCommerce,codingforentrepreneurs,1.5k, https://github.com/codingforentrepreneurs/eCommerce
pjax,MoOx,1.4k, https://github.com/MoOx/pjax
