Repo Name, User Name, Stars, Repo URL
atom,atom,60k, https://github.com/atom/atom
v2,miniflux,6.4k, https://github.com/miniflux/v2
themer,themerdev,5.4k, https://github.com/themerdev/themer
markdown-preview-enhanced,shd101wyy,4.1k, https://github.com/shd101wyy/markdown-preview-enhanced
hydrogen,nteract,3.9k, https://github.com/nteract/hydrogen
gofeed,mmcdole,2.5k, https://github.com/mmcdole/gofeed
teletype,atom,2.4k, https://github.com/atom/teletype
feeds,feeddd,2.1k, https://github.com/feeddd/feeds
CommandlineConfig,NaiboWang,2k, https://github.com/NaiboWang/CommandlineConfig
awesome-atom,mehcode,1.9k, https://github.com/mehcode/awesome-atom
feedparser,kurtmckee,1.9k, https://github.com/kurtmckee/feedparser
merlin,ocaml,1.6k, https://github.com/ocaml/merlin
kotlin-language-server,fwcd,1.5k, https://github.com/fwcd/kotlin-language-server
simplepie,simplepie,1.5k, https://github.com/simplepie/simplepie
go-plus,joefitzgerald,1.5k, https://github.com/joefitzgerald/go-plus
atom-beautify,Glavin001,1.5k, https://github.com/Glavin001/atom-beautify
rssguard,martinrotter,1.4k, https://github.com/martinrotter/rssguard
atom-vim-mode-plus,t9md,1.4k, https://github.com/t9md/atom-vim-mode-plus
MagicPython,MagicStack,1.4k, https://github.com/MagicStack/MagicPython
atom,file-icons,1.3k, https://github.com/file-icons/atom
